Date,PCH,1D_PCH
06/02/1976,4.41176,-1.40845
06/03/1976,-1.40845,10.00000
06/04/1976,10.00000,2.59740
06/07/1976,2.59740,0.00000
06/08/1976,0.00000,3.79747
06/09/1976,3.79747,4.87805
06/10/1976,4.87805,-3.48837
06/11/1976,-3.48837,0.00000
06/14/1976,0.00000,0.00000
06/15/1976,0.00000,-2.40964
06/16/1976,-2.40964,-2.46914
06/17/1976,-2.46914,3.79747
06/18/1976,3.79747,3.65854
06/21/1976,3.65854,-5.88235
06/22/1976,-5.88235,0.00000
06/23/1976,0.00000,2.50000
06/24/1976,2.50000,-1.21951
06/25/1976,-1.21951,3.70370
06/28/1976,3.70370,0.00000
06/29/1976,0.00000,0.00000
06/30/1976,0.00000,2.38095
07/01/1976,2.38095,-1.16279
07/02/1976,-1.16279,.
07/05/1976,.,.
07/06/1976,.,-1.16279
07/07/1976,-1.16279,5.88235
07/08/1976,5.88235,12.22222
07/09/1976,12.22222,2.97030
07/12/1976,2.97030,-0.96154
07/13/1976,-0.96154,0.00000
07/14/1976,0.00000,1.94175
07/15/1976,1.94175,-6.66667
07/16/1976,-6.66667,-1.02041
07/19/1976,-1.02041,-1.03093
07/20/1976,-1.03093,0.00000
07/21/1976,0.00000,-1.04167
07/22/1976,-1.04167,-1.05263
07/23/1976,-1.05263,7.44681
07/26/1976,7.44681,7.92079
07/27/1976,7.92079,-2.75229
07/28/1976,-2.75229,3.77358
07/29/1976,3.77358,1.81818
07/30/1976,1.81818,-1.78571
08/02/1976,-1.78571,0.00000
08/03/1976,0.00000,-1.81818
08/04/1976,-1.81818,0.00000
08/05/1976,0.00000,4.62963
08/06/1976,4.62963,2.65487
08/09/1976,2.65487,0.00000
08/10/1976,0.00000,0.00000
08/11/1976,0.00000,0.86207
08/12/1976,0.86207,0.85470
08/13/1976,0.85470,-0.84746
08/16/1976,-0.84746,0.85470
08/17/1976,0.85470,-0.84746
08/18/1976,-0.84746,-1.70940
08/19/1976,-1.70940,-6.08696
08/20/1976,-6.08696,2.77778
08/23/1976,2.77778,0.90090
08/24/1976,0.90090,3.57143
08/25/1976,3.57143,-1.72414
08/26/1976,-1.72414,-1.75439
08/27/1976,-1.75439,1.78571
08/30/1976,1.78571,1.75439
08/31/1976,1.75439,-1.72414
09/01/1976,-1.72414,-0.87719
09/02/1976,-0.87719,0.00000
09/03/1976,0.00000,.
09/06/1976,.,.
09/07/1976,.,1.69492
09/08/1976,1.69492,-2.50000
09/09/1976,-2.50000,0.85470
09/10/1976,0.85470,-0.84746
09/13/1976,-0.84746,-1.70940
09/14/1976,-1.70940,1.73913
09/15/1976,1.73913,1.70940
09/16/1976,1.70940,3.36134
09/17/1976,3.36134,-4.06504
09/20/1976,-4.06504,2.54237
09/21/1976,2.54237,-3.30579
09/22/1976,-3.30579,1.70940
09/23/1976,1.70940,-4.20168
09/24/1976,-4.20168,4.38596
09/27/1976,4.38596,0.84034
09/28/1976,0.84034,0.00000
09/29/1976,0.00000,1.66667
09/30/1976,1.66667,2.45902
10/01/1976,2.45902,1.60000
10/04/1976,1.60000,0.78740
10/05/1976,0.78740,3.90625
10/06/1976,3.90625,0.75188
10/07/1976,0.75188,12.68657
10/08/1976,12.68657,.
10/11/1976,.,.
10/12/1976,.,-1.29032
10/13/1976,-1.29032,0.00000
10/14/1976,0.00000,1.96078
10/15/1976,1.96078,-1.28205
10/18/1976,-1.28205,-2.59740
10/19/1976,-2.59740,-4.66667
