"","Date","Price","Open","High","Low","Vol.","Change..","Close"
"1","03/20/2023",3951.57,3917.47,3956.62,3916.89,NA,0.89,3951.57
"2","03/17/2023",3916.64,3958.69,3958.91,3901.27,NA,-1.1,3916.64
"3","03/16/2023",3960.28,3878.93,3964.46,3864.11,NA,1.76,3960.28
"4","03/15/2023",3891.93,3876.74,3894.26,3838.24,NA,-0.73,3891.93
"5","03/14/2023",3920.56,3894.01,3937.29,3873.63,NA,1.68,3920.56
"6","03/13/2023",3855.76,3835.12,3905.05,3808.86,NA,-0.15,3855.76
"7","03/10/2023",3861.59,3912.77,3934.05,3846.32,NA,-1.45,3861.59
"8","03/09/2023",3918.32,3998.66,4017.81,3908.7,NA,-1.85,3918.32
"9","03/08/2023",3992.01,3987.55,4000.41,3969.76,NA,0.14,3992.01
"10","03/07/2023",3986.37,4048.26,4050,3980.31,NA,-1.53,3986.37
"11","03/06/2023",4048.42,4055.15,4078.49,4044.61,NA,0.07,4048.42
"12","03/03/2023",4045.64,3998.02,4048.29,3995.17,NA,1.61,4045.64
"13","03/02/2023",3981.35,3938.68,3990.84,3928.16,NA,0.76,3981.35
"14","03/01/2023",3951.39,3963.34,3971.73,3939.05,NA,-0.47,3951.39
"15","02/28/2023",3970.15,3977.19,3997.5,3968.98,NA,-0.3,3970.15
"16","02/27/2023",3982.24,3992.36,4018.05,3973.55,NA,0.31,3982.24
"17","02/24/2023",3970.04,3973.24,3978.25,3943.08,NA,-1.05,3970.04
"18","02/23/2023",4012.32,4018.6,4028.3,3969.19,NA,0.53,4012.32
"19","02/22/2023",3991.05,4001.83,4017.37,3976.9,NA,-0.16,3991.05
"20","02/21/2023",3997.34,4052.35,4052.35,3995.19,NA,-2,3997.34
"21","02/17/2023",4079.09,4077.39,4081.51,4047.95,NA,-0.28,4079.09
"22","02/16/2023",4090.41,4114.75,4136.54,4089.49,NA,-1.38,4090.41
"23","02/15/2023",4147.6,4119.5,4148.11,4103.98,NA,0.28,4147.6
"24","02/14/2023",4136.13,4126.7,4159.77,4095.01,NA,-0.03,4136.13
"25","02/13/2023",4137.29,4096.62,4138.9,4092.67,NA,1.14,4137.29
"26","02/10/2023",4090.46,4068.92,4094.36,4060.79,NA,0.22,4090.46
"27","02/09/2023",4081.5,4144.25,4156.23,4069.67,NA,-0.88,4081.5
"28","02/08/2023",4117.86,4153.47,4156.85,4111.67,NA,-1.11,4117.86
"29","02/07/2023",4164,4105.35,4176.54,4088.39,NA,1.29,4164
"30","02/06/2023",4111.08,4119.57,4124.63,4093.38,NA,-0.61,4111.08
"31","02/03/2023",4136.48,4136.69,4182.36,4123.36,NA,-1.04,4136.48
"32","02/02/2023",4179.76,4158.68,4195.44,4141.88,NA,1.47,4179.76
"33","02/01/2023",4119.21,4070.07,4148.95,4037.2,NA,1.05,4119.21
"34","01/31/2023",4076.6,4020.85,4077.16,4020.44,NA,1.46,4076.6
"35","01/30/2023",4017.77,4049.27,4063.85,4015.55,NA,-1.3,4017.77
"36","01/27/2023",4070.56,4053.72,4094.21,4048.7,NA,0.25,4070.56
"37","01/26/2023",4060.43,4036.08,4061.57,4013.29,NA,1.1,4060.43
"38","01/25/2023",4016.22,3982.71,4019.55,3949.06,NA,-0.02,4016.22
"39","01/24/2023",4016.95,4001.74,4023.92,3989.79,NA,-0.07,4016.95
"40","01/23/2023",4019.81,3978.14,4039.31,3971.64,NA,1.19,4019.81
"41","01/20/2023",3972.61,3909.04,3972.96,3897.86,NA,1.89,3972.61
"42","01/19/2023",3898.85,3911.84,3922.94,3885.54,NA,-0.76,3898.85
"43","01/18/2023",3928.86,4002.25,4014.16,3926.59,NA,-1.56,3928.86
"44","01/17/2023",3990.97,3999.28,4015.39,3984.57,NA,-0.2,3990.97
"45","01/13/2023",3999.09,3960.6,4003.95,3947.67,NA,0.4,3999.09
"46","01/12/2023",3983.17,3977.57,3997.76,3937.56,NA,0.34,3983.17
"47","01/11/2023",3969.61,3932.35,3970.07,3928.54,NA,1.28,3969.61
"48","01/10/2023",3919.25,3888.57,3919.83,3877.29,NA,0.7,3919.25
"49","01/09/2023",3892.09,3910.82,3950.57,3890.42,NA,-0.08,3892.09
"50","01/06/2023",3895.08,3823.37,3906.19,3809.56,NA,2.28,3895.08
"51","01/05/2023",3808.1,3839.74,3839.74,3802.42,NA,-1.16,3808.1
"52","01/04/2023",3852.97,3840.36,3873.16,3815.77,NA,0.75,3852.97
"53","01/03/2023",3824.14,3853.29,3878.46,3794.33,NA,-0.4,3824.14
"54","12/30/2022",3839.5,3829.06,3839.85,3800.34,NA,-0.25,3839.5
"55","12/29/2022",3849.28,3805.45,3858.19,3805.45,NA,1.75,3849.28
"56","12/28/2022",3783.22,3829.56,3848.32,3780.78,NA,-1.2,3783.22
"57","12/27/2022",3829.25,3843.34,3846.65,3813.22,NA,-0.4,3829.25
"58","12/23/2022",3844.82,3815.11,3845.8,3797.01,NA,0.59,3844.82
"59","12/22/2022",3822.39,3853.26,3853.26,3764.49,NA,-1.45,3822.39
"60","12/21/2022",3878.44,3839.49,3889.82,3839.49,NA,1.49,3878.44
"61","12/20/2022",3821.62,3810.47,3838.24,3795.62,NA,0.1,3821.62
"62","12/19/2022",3817.66,3853.79,3854.86,3800.04,NA,-0.9,3817.66
"63","12/16/2022",3852.36,3890.91,3890.91,3827.91,NA,-1.11,3852.36
"64","12/15/2022",3895.75,3958.37,3958.37,3879.45,NA,-2.49,3895.75
"65","12/14/2022",3995.32,4015.54,4053.76,3965.65,NA,-0.61,3995.32
"66","12/13/2022",4019.65,4069.38,4100.96,3993.03,NA,0.73,4019.65
"67","12/12/2022",3990.56,3939.29,3990.71,3935.3,NA,1.43,3990.56
"68","12/09/2022",3934.38,3954.17,3977.02,3933.04,NA,-0.73,3934.38
"69","12/08/2022",3963.51,3947.79,3974.19,3935.83,NA,0.75,3963.51
"70","12/07/2022",3933.92,3933.28,3957.57,3922.68,NA,-0.19,3933.92
"71","12/06/2022",3941.26,3996.63,4001.51,3918.39,NA,-1.44,3941.26
"72","12/05/2022",3998.84,4052.02,4052.45,3984.49,NA,-1.79,3998.84
"73","12/02/2022",4071.7,4040.17,4080.48,4026.63,NA,-0.12,4071.7
"74","12/01/2022",4076.57,4087.14,4100.51,4050.87,NA,-0.09,4076.57
"75","11/30/2022",4080.11,3957.18,4080.11,3938.58,NA,3.09,4080.11
"76","11/29/2022",3957.63,3964.19,3976.77,3937.65,NA,-0.16,3957.63
"77","11/28/2022",3963.94,4005.36,4012.27,3955.77,NA,-1.54,3963.94
"78","11/25/2022",4026.12,4023.34,4034.02,4020.76,NA,-0.03,4026.12
"79","11/23/2022",4027.26,4000.3,4033.78,3998.66,NA,0.59,4027.26
"80","11/22/2022",4003.58,3965.51,4005.88,3956.88,NA,1.36,4003.58
"81","11/21/2022",3949.94,3956.23,3962,3933.34,NA,-0.39,3949.94
"82","11/18/2022",3965.34,3966.39,3979.89,3935.98,NA,0.48,3965.34
"83","11/17/2022",3946.56,3919.26,3954.33,3906.54,NA,-0.31,3946.56
"84","11/16/2022",3958.79,3976.82,3983.09,3954.34,NA,-0.83,3958.79
"85","11/15/2022",3991.73,4006.41,4028.84,3953.17,NA,0.87,3991.73
"86","11/14/2022",3957.25,3977.97,4008.97,3956.4,NA,-0.89,3957.25
"87","11/11/2022",3992.93,3963.72,4001.48,3944.82,NA,0.92,3992.93
"88","11/10/2022",3956.37,3859.89,3958.33,3859.89,NA,5.54,3956.37
"89","11/09/2022",3748.57,3810.94,3818.2,3744.22,NA,-2.08,3748.57
"90","11/08/2022",3828.11,3817.02,3859.4,3786.28,NA,0.56,3828.11
"91","11/07/2022",3806.8,3780.71,3813.95,3764.7,NA,0.96,3806.8
"92","11/04/2022",3770.55,3766.98,3796.34,3708.84,NA,1.36,3770.55
"93","11/03/2022",3719.89,3733.25,3750.59,3698.15,NA,-1.06,3719.89
"94","11/02/2022",3759.69,3852.9,3894.44,3758.68,NA,-2.5,3759.69
"95","11/01/2022",3856.1,3901.79,3911.79,3843.8,NA,-0.41,3856.1
"96","10/31/2022",3871.98,3881.85,3893.73,3863.18,NA,-0.75,3871.98
"97","10/28/2022",3901.06,3808.26,3905.42,3808.26,NA,2.46,3901.06
"98","10/27/2022",3807.3,3834.69,3859.95,3803.79,NA,-0.61,3807.3
"99","10/26/2022",3830.6,3825.97,3886.15,3824.07,NA,-0.74,3830.6
"100","10/25/2022",3859.11,3799.44,3862.85,3799.44,NA,1.63,3859.11
"101","10/24/2022",3797.34,3762.01,3810.74,3741.65,NA,1.19,3797.34
"102","10/21/2022",3752.75,3657.1,3757.89,3647.42,NA,2.37,3752.75
"103","10/20/2022",3665.78,3689.05,3736,3656.44,NA,-0.8,3665.78
"104","10/19/2022",3695.16,3703.11,3728.58,3666.51,NA,-0.67,3695.16
"105","10/18/2022",3719.98,3746.26,3762.79,3686.53,NA,1.14,3719.98
"106","10/17/2022",3677.95,3638.65,3689.73,3638.65,NA,2.65,3677.95
"107","10/14/2022",3583.07,3690.41,3712,3579.68,NA,-2.37,3583.07
"108","10/13/2022",3669.91,3520.37,3685.41,3491.58,NA,2.6,3669.91
"109","10/12/2022",3577.03,3590.83,3608.34,3573.86,NA,-0.33,3577.03
"110","10/11/2022",3588.84,3595.86,3640.66,3568.45,NA,-0.65,3588.84
"111","10/10/2022",3612.39,3647.51,3652.17,3588.1,NA,-0.75,3612.39
"112","10/07/2022",3639.66,3706.74,3706.74,3620.73,NA,-2.8,3639.66
"113","10/06/2022",3744.52,3771.97,3797.93,3739.22,NA,-1.02,3744.52
"114","10/05/2022",3783.28,3753.25,3806.91,3722.66,NA,-0.2,3783.28
"115","10/04/2022",3790.93,3726.46,3791.92,3726.46,NA,3.06,3790.93
"116","10/03/2022",3678.43,3609.78,3698.35,3604.93,NA,2.59,3678.43
"117","09/30/2022",3585.62,3633.48,3671.44,3584.13,NA,-1.51,3585.62
"118","09/29/2022",3640.47,3687.01,3687.01,3610.4,NA,-2.11,3640.47
"119","09/28/2022",3719.04,3651.94,3736.74,3640.61,NA,1.97,3719.04
"120","09/27/2022",3647.29,3686.44,3717.53,3623.29,NA,-0.21,3647.29
"121","09/26/2022",3655.04,3682.72,3715.67,3644.76,NA,-1.03,3655.04
"122","09/23/2022",3693.23,3727.14,3727.14,3647.47,NA,-1.72,3693.23
"123","09/22/2022",3757.99,3782.36,3790.9,3749.45,NA,-0.84,3757.99
"124","09/21/2022",3789.93,3871.4,3907.07,3789.49,NA,-1.71,3789.93
"125","09/20/2022",3855.93,3875.23,3876.01,3827.54,NA,-1.13,3855.93
"126","09/19/2022",3899.89,3849.91,3900.45,3838.5,NA,0.69,3899.89
"127","09/16/2022",3873.33,3880.95,3880.95,3837.08,NA,-0.72,3873.33
"128","09/15/2022",3901.35,3932.41,3959.14,3888.28,NA,-1.13,3901.35
"129","09/14/2022",3946.01,3940.73,3961.94,3912.18,NA,0.34,3946.01
"130","09/13/2022",3932.69,4037.12,4037.12,3921.28,NA,-4.32,3932.69
"131","09/12/2022",4110.41,4083.67,4119.28,4083.67,NA,1.06,4110.41
"132","09/09/2022",4067.36,4022.94,4076.81,4022.94,NA,1.53,4067.36
"133","09/08/2022",4006.18,3959.94,4010.5,3944.81,NA,0.66,4006.18
"134","09/07/2022",3979.87,3909.43,3987.89,3906.03,NA,1.83,3979.87
"135","09/06/2022",3908.19,3930.89,3942.55,3886.75,NA,-0.41,3908.19
"136","09/02/2022",3924.26,3994.66,4018.43,3906.21,NA,-1.07,3924.26
"137","09/01/2022",3966.85,3936.73,3970.23,3903.65,NA,0.3,3966.85
"138","08/31/2022",3955,4000.67,4015.37,3954.53,NA,-0.78,3955
"139","08/30/2022",3986.16,4041.25,4044.98,3965.21,NA,-1.1,3986.16
"140","08/29/2022",4030.61,4034.58,4062.99,4017.42,NA,-0.67,4030.61
"141","08/26/2022",4057.66,4198.74,4203.04,4057.66,NA,-3.37,4057.66
"142","08/25/2022",4199.12,4153.26,4200.54,4147.59,NA,1.41,4199.12
"143","08/24/2022",4140.77,4126.55,4156.56,4119.97,NA,0.29,4140.77
"144","08/23/2022",4128.73,4133.09,4159.77,4124.03,NA,-0.22,4128.73
"145","08/22/2022",4137.99,4195.08,4195.08,4129.86,NA,-2.14,4137.99
"146","08/19/2022",4228.48,4266.31,4266.31,4218.7,NA,-1.29,4228.48
"147","08/18/2022",4283.74,4273.13,4292.53,4261.98,NA,0.23,4283.74
"148","08/17/2022",4274.04,4280.4,4302.18,4253.08,NA,-0.72,4274.04
"149","08/16/2022",4305.2,4290.46,4325.28,4277.77,NA,0.19,4305.2
"150","08/15/2022",4297.14,4269.37,4301.79,4256.9,NA,0.4,4297.14
"151","08/12/2022",4280.15,4225.02,4280.47,4219.78,NA,1.73,4280.15
"152","08/11/2022",4207.27,4227.4,4257.91,4201.41,NA,-0.07,4207.27
"153","08/10/2022",4210.24,4181.02,4211.03,4177.26,NA,2.13,4210.24
"154","08/09/2022",4122.47,4133.11,4137.3,4112.09,NA,-0.42,4122.47
"155","08/08/2022",4140.06,4155.93,4186.62,4128.97,NA,-0.12,4140.06
"156","08/05/2022",4145.19,4115.87,4151.58,4107.31,NA,-0.16,4145.19
"157","08/04/2022",4151.94,4154.85,4161.29,4135.42,NA,-0.08,4151.94
"158","08/03/2022",4155.17,4107.96,4167.66,4107.96,NA,1.56,4155.17
"159","08/02/2022",4091.19,4104.21,4140.47,4079.81,NA,-0.67,4091.19
"160","08/01/2022",4118.63,4112.38,4144.95,4096.02,NA,-0.28,4118.63
"161","07/29/2022",4130.29,4087.33,4140.15,4079.22,NA,1.42,4130.29
"162","07/28/2022",4072.43,4026.13,4078.95,3992.97,NA,1.21,4072.43
"163","07/27/2022",4023.61,3951.43,4039.56,3951.43,NA,2.62,4023.61
"164","07/26/2022",3921.05,3953.22,3953.22,3910.74,NA,-1.15,3921.05
"165","07/25/2022",3966.84,3965.72,3975.3,3943.46,NA,0.13,3966.84
"166","07/22/2022",3961.63,3998.43,4012.44,3938.86,NA,-0.93,3961.63
"167","07/21/2022",3998.95,3955.47,3999.29,3927.64,NA,0.99,3998.95
"168","07/20/2022",3959.9,3935.32,3974.13,3922.03,NA,0.59,3959.9
"169","07/19/2022",3936.69,3860.73,3939.81,3860.73,NA,2.76,3936.69
"170","07/18/2022",3830.85,3883.79,3902.44,3818.63,NA,-0.84,3830.85
"171","07/15/2022",3863.16,3818,3863.62,3817.18,NA,1.92,3863.16
"172","07/14/2022",3790.38,3763.99,3796.41,3721.56,NA,-0.3,3790.38
"173","07/13/2022",3801.78,3779.67,3829.44,3759.07,NA,-0.45,3801.78
"174","07/12/2022",3818.8,3851.95,3873.41,3802.36,NA,-0.92,3818.8
"175","07/11/2022",3854.43,3880.94,3880.94,3847.22,NA,-1.15,3854.43
"176","07/08/2022",3899.38,3888.26,3918.5,3869.34,NA,-0.08,3899.38
"177","07/07/2022",3902.62,3858.85,3910.63,3858.85,NA,1.5,3902.62
"178","07/06/2022",3845.08,3831.98,3870.91,3809.37,NA,0.36,3845.08
"179","07/05/2022",3831.39,3792.61,3832.19,3742.06,NA,0.16,3831.39
"180","07/01/2022",3825.33,3781,3829.82,3752.1,NA,1.06,3825.33
